,Sentence,Emotion
28257,아님 가면 너무 오바인가요.?,공포
28258,무슨 일이라도 생겼나...,공포
28259,늘 끝날때 보면 +- 0뭐 잃는것보다야 낫지만서도...,공포
28260,제가 이상한건가요 ?,공포
28261,어떻게 마음을 다잡아야할까요...,공포
28262,그러고보니까 예전에 3개월동안 기침하는매우 고통스럽다는 병이있다던데 그건 아니겟죠..?,공포
28263,무슨 방법없을까영 ㅜㅜ0,공포
28264,21일 금방 지나가나요?,공포
28265,플디즈 계약은 끝낫고 일본활동만 1년 계약 남앗는데이거끝나거 재계약을 해줘야하는데 플디즈가 재계약 안하기로 유명하대요..,공포
28266,이렇게 결심한걸 어떠케 말로 꺼낼까요..,공포
28267,오늘 한번더 보낼려는데 뭐라고 보냴까요.......,공포
28268,나는 6개월이 빨리 지나가기만 바라고 있었는데안잡는 게 맞는 거 겠죠?,공포
28269,남친이 월차쓴다는데 뭐하는지 물어보고 연락도 하고그래야하나요?,공포
28270, 대전교육청에는 최소 5개월이라고 써있는데 많이늦은건가요..?,공포
28271, 어떻게 할수 있는 방법 없을가요,공포
28272,그런데 조리원만 2주하고 도우미는 꼭 해야하나 고민중입니다.,공포
28273,근데 제가 외모열폭이라 차이면 우울증 생길듯--;,공포
28274,어제 다른 신병교육대대로 배치를 받았을텐데 주민번호없인 조회가 안되더라구요 ㅠㅠ,공포
28275, 원래이런게자연스러운건가요제가어떤문제가있는걸까요,공포
28276,손편지가 좋을까요?뭘 더 좋아할까요???,공포
28277,전 고백을 하기 전에 나름대로 간접적인 어필을 한다고 하는중인데 잘 모르겠네요,공포
28278, 엄청고민이거든요..,공포
28279,밀당이라는게 정말 필요한가 하는 생각이 문득문득드는데...,공포
28280,어떤게효과있을까요??경락은 알도빠지나요?,공포
28281, 친하지도 않은 여자애가 카톡하면 어떤가요..,공포
28282,걱정이네요,공포
28283,22살 1년다되가는 여자 직장인입니다,공포
28284, 많이 안좋게보나요?,공포
28285,이런 여자는 도대체 어떤 여자인지 모르겠어요.,공포
28286,결혼하고나서 남편이랑 회사 가까운 곳으로 이사오면서...,공포
28287, 성격차이로 주변에서 헤어지는거 보니깐성격이 중요한가 싶어서요..,공포
28288, 어케해야할까요0,공포
28289, 그렇다는건 지금 이 메신저로 전화중이라는건가요..?,공포
28290,이걸 좋아해야되 말아야되 ㅋㅋㅋㅋㅋㅋ,공포
28291,귀찮아서 그냥 세탁기에 돌렸는데..,공포
28292,전혀 쓸떼없는 걱정 및 잡생각이 자주 드네요,공포
28293, 아님 이 여자가 이상해서 헤어져야하나여?,공포
28294,또 무한도전 시청률 떨어지면 어떻하죠?,공포
28295, 어떻게 쾌차되고 있는건지 누가 아시는 분 없나요?,공포
28296,  태연누나 이대로 가면 안티 쭉쭉 늘텐데;,공포
28297,새벽에 드시고 바로 주무시면 안됩니다!!!!!!!!!!!,공포
28298,바쁘신데 이글 보실줄 모르겟네;;,공포
28299,오티가면 장기자랑 춤출때 팔을 너무 많이쓰는데 안아프겠죠??ㅠㅠ,공포
28300,아님 경기를 너무 쉽게 포기하시는건지...,공포
28301,방송하고 나면 또 관련 식재료 들 매출이 올라가서...,공포
28302,날씨가 추운데 서울엔 눈이 오는지 모르겠네요,공포
28303,제 2의 imf가 곧 오겠군 미리 헬조센 탈출하는 사람이 위너임,공포
28304,이재진 보통 아니라 걱정도 되고 기대도 되곸ㅋㅋㅋㅋㅋㅋㅋㅋ,공포
28305,저거 하다가 언제 한 번 큰 사고 날 것 같다,공포
28306,슬슬 큰거 하나 또 터질때 되었는데,공포
28307,공인인증서도 안전하지않다,공포
28308,비는 안오나요? ㅠㅠ,공포
28309,한전다니는데 제발 정전없기를..,공포
28310,너무 조용히하면 닥그네가 아무일도 없는줄 알까봐 걱정이된다...,공포
28311,혹시...방화범?,공포
28312,펩이 흔들리고 있는 이유는 하나.디아블로3 네크로멘서가 업데이트 될 예정이기 때문임.선수들이 다 시체로 보일듯,공포
28313,좀 늦은거 같다 바로 했어야 했는데...,공포
28314,사고나면 초대형사고로 이어질거같은데...특히 중국...,공포
28315,정신차리고 우리땅 지켜라,공포
28316,이러다가 트럼프때문에 경상도사람들 천민 취급하겠는데.,공포
28317,저러다 IS가 난민인척 하면서 미국들어가고 우리나라까지 들어올까 걱정된다,공포
28318,미국 이러다 진짜 쪼개질수도 있겠다,공포
28319,누나가 걱정하드라 ;;,공포
28320,쓸때없이 왜 필리핀 치안도안좋은곳에 가는지;;,공포
28321,통제가 힘든게 인간인데 인간의 유전자를 가지고 태어난 잡종들을 통제할수있다고 과연 확신할수있을까,공포
28322,아이를 던져서 뇌진탕에라도 걸리면 어쩌려고;;,공포
28323,젊은 사람들 연애좀 하게 놔두라보름이면 인제 시작인데,공포
28324,학생들이 스승의 어떤면을 제일 빨리 배울까......,공포
28325,이거 트럼프가 당선되면 애치슨라인 꼴되는거아니냐?,공포
28326,전화가 펑 터질것만 같아~~,공포
28327,소방차빨리 와야지,공포
28328,조만간 쓰나미 오겟군..,공포
28329,아섭이 노치면 자전거타러 사직간다,공포
28330,인간의 이기심이 결국은 인류를 멸종시킬지도.,공포
28331,방금 광주 지진 ㄷㄷ,공포
28332,이렇게 겁주고 낼 안쌓이면....,공포
28333,조만간 뭔일 날거같긴한데,공포
28334,북한에 수출하면 우리나라 좃되는데 ㅜㅜ,공포
28335,정말 세계가 점점 시끄러워지고 대전쟁날 듯....,공포
28336,터널이 없더라도 상당히 위험한 발상이다,공포
28337,출고가 얼마나 부르려나? 99만 8천원?,공포
28338,그동안 우승한게 있는데 한해 못했다고 재계약 안하진 않겠지...,공포
28339,흠.......롯데 우승부터 하고 가야하지 않냐?,공포
28340,한국은 이란한테 질거같은데...,공포
28341,마지막 때가 가까워 오는구나,공포
28342,노트4 밧데리가 배불뚝이가 되어가는데 사용해도 될지?,공포
28343,후쿠시마산 아니냐????? ㅋㅋ,공포
28344,건강이 저런데 더 바쁘고 더 머리써야할일이 많은 천조국 대통령직을 어찌 수행하나...,공포
28345,잘못하면 3차 세계 대전 나겠네...,공포
28346,제가 노예들의 주인입니다 뭐가 잘못됐나요?,공포
28347,지금 엑스피 쓰는데 윈10은 그냥 사용할수있다는건가요??,공포
28348,블딥을 사고싶은데 가격이 부담스럽고 dvd를 사고싶은데 그 역시 부담스럽고 사고 싶은데 눈 감고 살까... 우짜지...,공포
28349,강승호 묵을까나,공포
28350,안좋은건 다 일등이야,공포
28351,근디 이러면 상대팀 입장에선 곤란하겠는데...,공포
28352,확실합니까?정말입니까?믿어됩니까?,공포
28353,세계3차대전이 머지않아 들이 닥칠 것 같구나..,공포
28354,어이고 그럼안될것같은데,공포
28355,마녀를 마녀라 하는것도 죄인가?,공포
28356,이런 일이 너무 많아서 이젠 뭐만 터지면 테러가 아닌가 의심된다...,공포
28357,이제 큰일났구나. 아고.,공포
28358,"에고야, 울 딸래미들이 보까 무섭네....현아씨, .....",공포
28359,롤드컵 끝나고 듀크 중국간다고 하면 어떡하나,공포
28360,호구일까?,공포
28361,이라크 근무시 뭔일이 있었던것 아닐까,공포
28362,바다는 끝났네 하긴 일본이 원전 패수를 바다에 부을때부터 끝난건가?,공포
28363,조만간 아이폰7도 폭발 뉴스 터지겠군..,공포
28364,문희준 슈퍼맨에나오는거아니냐,공포
28365,온 국민이 불안하다. 도대체 ㅜ.ㅠ,공포
28366,데굴데굴?난 보면서 어이없어 절레절레 했다.,공포
28367,독재할가능성이 점점커진다. .,공포
28368,현 시점의 필리핀 국민에게 필요한 강력한 지도자임은 분명하나 다소 민주주의 보다는 독재와 불필요한 공권력 행사를 할 소지가 있는 불안한 지도자.,공포
28369,뇌는 곧 우주의 축소판이라고 하던데 인류가 멸망하기 전까지 알아낼수 있을까요,공포
28370,"실력 좋고 인품 좋고, 잘 생겼고 너무나 많은것을 가졌기에 미안하지만 신이 질투 할까 두렵다.",공포
28371,이러다가 금새 더워질 거 같아 또 무서웡,공포
28372,이제 부산에서 촛불은 동구청 앞에서 하는걸로 합시다,공포
28373,이런 생각도 많이 있을걸 ...,공포
28374,일단 한국말을 어느정도 기본은 할 줄 알아야 하는데.,공포
28375,프랑스도 이불밖은 위험해 ㅡㅡ,공포
28376, FA고액연봉의 일정비율은 팀원들에게 배분하라,공포
28377,왜 안보일까?,공포
28378, 이 사람은 자신을 과대평가 하고 있어...,공포
28379, 친일정부가 반환을 주장하지 않는것이 참 수상쩍다.,공포
28380,박근혜가 한미동맹은물론 동북아안보를 위태롭게하고있다,공포
28381,아닌데. 하는거보면 올해안에 무조건 성적내려다 망할꺼 같은데,공포
28382,오승환을 부르면 문제가 더 커지는데;,공포
28383,나머지 6종 찾기는 이제 드래곤볼 게임이 될 것 같다.,공포
28384,그래도 보일러 안 깔아준것만도 다행이네,공포
28385, 참 미국도 한국도 한심하다!,공포
28386,가수로 무대에 서기엔 많이많이.,공포
28387,"피파같은 고사양겜하기에 좋음,",공포
28388, 난 안뽑았거든,공포
28389, 눈치만볼뿐 나서질 않았다,공포
28390,누가 봐도 향후 10년안에 전쟁일어난다,공포
28391, 지금도 불안하다.,공포
28392, 거기에 토를 달 생각은 전혀 없다.,공포
28393,못하면 욕 오지게 먹는거고 잘하면 찬양하는거지,공포
28394,두근두근...아...돌겟네ㅠ,공포
28395, 참 간사해 마음이...,공포
28396,중국에서 인기있다하다 티아라처럼 중국연예인될듯!,공포
28397,또라이가 사고치기 시작했다.,공포
28398,미국 블루칼라 백인들은 지들이 노력 안해서 경쟁에서 밀리는 건 모르고..,공포
28399,괌에는 주변작은섬에서 불법체류중인 현지원주민들이 많아서 강도많아요..,공포
28400, 돈만내고 늙으면 돈도 못받을꺼같은데,공포
28401, 이건 잘하는것 같은데 말이다.,공포
28402, 이 상황 어떻게 해야하나요?,공포
28403,관련없을거 같지???,공포
28404,조만간 대형지진 몇번 나겠군,공포
28405, 축구에 서정원선수가 감독될때랑 너무 흡사한것이 불안하다,공포
28406,풀로 뛰면 블로운 얼마나 할까?,공포
28407,개학하도 애들 다 쪄죽는다...,공포
28408, 국가의 앞날이 걱정이다.,공포
28409, 아니면 다음대통령도 똑같을거다.,공포
28410, 장갑 안쓰고 밖에 나갔다는 손이 얼어붙음 ㅠㅠ...,공포
28411, 흡연하시는 분들은 더 위험하실듯..,공포
28412, 노트7구입 3일 환불하러가야할까요?,공포
28413,내일 괌가는데 비행기는 뜨겠죠? ㅋㅋ,공포
28414,임창용처럼 힘으로만 승부하다가 큰거 맞을수도있다,공포
28415,외부 충격 받으면 배터리가 다 터지나?,공포
28416,마린시티도 마린보이 꼴 나겄네,공포
28417, 공업시대를 만들어서 곧 멸망하겠네,공포
28418, 아마 지난 총선때 새누리에서 안철수 칭찬하는 게시글 새누리페이스북에 올리문서 부터인가 ?,공포
28419,정말클나요.,공포
28420,뭘 또 덮을라고 이런 기사 올리냐...,공포
28421, 곧 남의 나라 얘기만은 아닐 듯!,공포
28422, 말은 좀 험하게 하지만 그건 우리한테도 하니까 상관 없잖아?,공포
28423,기아는 복수를 다짐하고 대대적인 보강을 하는데 과연 2017년 기아의 운명은?,공포
28424,북한의 방사포들은 현제 위성유도시스탬들이되어있습니다.,공포
28425,그나저나 공명이 삐뚤어질까봐 걱정되네,공포
28426, 너 그러다 칼치기에 사고 당한다...,공포
28427,중국에서 자동차 늘어나면 이산화탄소 엄청나올거고 결국 오존층은 더 파괴덜거다.,공포
28428,난 당뇨위험 10배인가?!,공포
28429,인천이야말로 밀리면 죽음이네.,공포
28430,과연 무기징역을 선고한다고 끝나는것인가,공포
28431,내친구 저기로 신행갔는데. .,공포
28432, 이쯤되면 반응이 나와야 되는데 아직 없노?,공포
28433,이거 드라마 연출은 어떻게 하려고 드라마로 만드는거지ㅠㅠ,공포
28434,국제 정세가 지금 매우 안좋은데..,공포
28435, 고령 운전자분들 운전하시는거 보면 참 불안하지요.,공포
28436,아 한국에서 어뜩해 사냐,공포
28437,빨리이직하는게 좋겠죠...?,공포
28438, 부담 안줄수 있을까요?,공포
28439,너무 놀라서 밤새 한숨도 못 자고..,공포
28440,어제오늘 마셨는데?애기는 뱃속에서 잘움직이고있어서 괜찮은거같기도하고...,공포
28441, 주말이라 병원에도 못가보고..걱정스러워요,공포
28442, 이럴땐 어떻게 해야할까요 ...?,공포
28443,근데 아직도 사람이 안구해져서 못그만두는 중인데.나 어떻게 해???,공포
28444,? 밥이 살많이 찐다는데 밥도 줄여야 겠죠?ㅠ,공포
28445,그래서 못미더움............................,공포
28446,괜히 이걸 시작으로 다른 것도 대충대충 맞히게 될 거 같은 불안감도 들고요.,공포
28447,그달의 일수로 하는게 이상해서요,공포
28448, 이 곳이 가장 활성화 돼 있어서 조언을 구하고자 해요ㅠㅠ,공포
28449,괜히 실망만시킬까봐 ㅎㅎ;;,공포
28450,추가모집을 하면 가능성이 있을까요...0,공포
28451, 여자는 남자보다 근육만들기 어려워요?,공포
28452,문제는 저한테는 약 250일 정도 사귀고있는 여자친구가 있어요,공포
28453,회사를 구해야 하기는하는데..,공포
28454,아 그리고 저 다리 휘었나요?,공포
28455,근데 지금 6/2일 생리예정일 하루가 지났는데 생리가 안터져요..,공포
28456,어떻게 해야될까요.,공포
28457,사대보험이 좀 신경쓰이지만 일을 하는것이 맞겟지요?,공포
28458,여름에 출산하면 더운데 어떻게 산후조리하나요?,공포
28459, 걱정이네요,공포
28460,삼천만원정도 대출을 받는다면...,공포
28461,사장님한테 어떻게 말해야 할까요?,공포
28462,다시만나는 커플이라 더 조심스럽고 뭘해야될지도 모르겠어서 물어봐요,공포
28463,헤어졌는데.. 걱정돼서...,공포
28464,기본적인 사칙연산은 할 수 있지만 중학교때부터 수학에 자신이 없어서..잘할 수 있을까요?,공포
28465,미래가 안보인다..,공포
28466, 30대 되면 결혼하기 더 힘드나요?,공포
28467,ㅠㅠ정말 당황스러워요.,공포
28468,다름이 아니라 제가 토요일날 면접을 보고 오늘까지 연락 주신다고 하셨었는데요,공포
28469, 피임도 안하구..,공포
28470,일주일이 넘었는데 왜 안 올까요?,공포
28471,PC방이라 좀 그럴것같아서 사복입을까,공포
28472,긴장되네요,공포
28473,제가 남자친구랑 헤어질까 고민중입니다.,공포
28474,사귀고 점점더 가면 갈수록일주일에 만나는 횟수가 줄어드나요?,공포
28475, 어떻게 말하는게..,공포
28476, 이상하게 신경쓰여서 고민..0,공포
28477,남친 자대가 포항인데첫 면회때 뭐 준비해 가야하나요?먹을꺼? 얼마나?,공포
28478, 제가 잘하고있는건가요,공포
28479,우체국 사서함으로 배달되는데도 반송될가요? ㅜ,공포
28480,근데 스케치북접은거는 무게가 약간 차이가 쪼끔잇어서우표 두장을 붙였어여 ㅠㅠ가겠져??ㅠㅠㅠㅠㅠ,공포
28481,애들은 커가는데..,공포
28482,아님 루이스 엠버라고 읽어도 상관없는건지..,공포
28483,그럼 저는 기회를 놓치게 된거겠죠..??,공포
28484, 진짜 네이트온만해야해?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,공포
28485, 어떡하지????,공포
28486,뭘 어떻게해야할지 모르겟네요...,공포
28487,저희학교가 내신따기 무지어려운학교라..,공포
28488,술같은것도권할까요,공포
28489,30대는 뭘어떻게노력을 해야 되는건지모르겠다,공포
28490,23살인데 요새들어 차 자꾸 사고 싶어 져서 고민이네요.,공포
28491,혹시 이게 무슨 수술이나 시술자국 같은건 아닌가해서요...,공포
28492,어떻게 감당할지 여전히 어렵고 모르겠어요.,공포
28493, 가렵거나 구런건 아니지만 신경이쓰여서..,공포
28494,그리고 단식 끝나고 죽을 먹으라는데 죽몇일간 죽을 먹어야 하는지 ..,공포
28495, 그때쯤 부터일주일에 두세번정도 화장실 가서 볼일[소변] 보고화장지에 묻은거 확인 해보면..,공포
28496,이게 막 심장병인가하구요..,공포
28497, 근데 요즘들어서 더 남 눈치보는거 같아..,공포
28498, 리**에서 해결해야 한다는 데 해결될 가능없다,공포
28499,좀 섭섭한거같아 찜찜하네요..ㅎ,공포
28500,자주 찌릿찌릿 거려요 ㅠㅠ,공포
28501,어떻게 다가가야돼요???,공포
28502,과연 사회인이 될수있을지도 의문이다..,공포
28503,사고나 침수차량을 무사고인척 속이고 팔기도하나요?,공포
28504,출산해보신분들 어떠세요?유도분만 하면 그다음날 아기가 나온다던데..,공포
28505,그래서 모자쓰고 하려는데 모자써도 되나요,공포
28506, 오프라인에서 사야할지..,공포
28507,제가 레몬청이나 청같은거 담그기 좋아하는데 이런거라도 가져다주는게 좋을까요??,공포
28508, 그 투명한 물같은 콧물 어떡해야 멈추지?,공포
28509, 손편지도 잡히지도 않고군화 많이 불안해할까요?,공포
28510,제가 비정상일까요?,공포
28511,사기라고 해도 주소 눌러서 걱정이고 사기가 아니라면 더 걱정이네요 ㅠㅠ,공포
28512,근데 뭘해야할지 모르겠음 ㅋㅋ0,공포
28513,냉대에 조금씩 묻을정도..,공포
28514,뭐지 이새끼 이런 생각하는거 아냐??,공포
28515,제대로 이성을 사귀어야 하는데 엉뚱한 곳에 시간낭비하고 있는 느낌이랄까요,공포
28516,저도 평생 여자사람 못 만날까봐 고민 .0,공포
28517, 후회하게 될까요,공포
28518,어떻게 지내야할지 막막하네요,공포
28519,그래도 임신아니겠져>?,공포
28520,배란일때 임신되져?,공포
28521,어떤게 더 괜찮은건지...,공포
28522,궁금하고 보고싶고 그래서 목빠지겠는데.,공포
28523,그거 보면 혹시나 해서 한번 더 잡아보고픈데겁이 나네요,공포
28524,제가좋아하는 남자아이가 있는데요....,공포
28525,어느쪽일이나을까요?,공포
28526, 일주일에 물보다 콜라를 더먹는거같습니다,공포
28527,여러 조언들어보고 그래봤어도 확신이 안드네요...,공포
28528,궁금한게 있어서 이렇게 글을 올리게되었어요,공포
28529,당신은 어디로 취업할것인가?,공포
28530,오늘 등록하면 한달동안 진짜 맨붕될듯..ㅡ,공포
28531,그날 고백해도될까요??,공포
28532,친구들이랑 바다가는데 비오면 어떡하져?,공포
28533,역시 원피스겠죠ㅠㅠ..?,공포
28534,이렇게 단기로 편의점 알바해도 되는거 맞나,공포
28535,제남친 너무 단호박이라서 그냥 저는 차단하고 다시는 안풀줄알앗거든요.....,공포
28536,근데...저 생각날까요...?,공포
28537,여자친구가혼자있고싶다는데무슨말인가요,공포
28538,건축이나기계는취업이많이어렵나요??,공포
28539,제가 잘하고 있는거 맞나요...??,공포
28540, 주말알바고 대학로근천데 사람이 왜 안구해지는지 모르겟음....,공포
28541, 제 말은 주식을 하면 무조건 잃는 건가요?,공포
28542,저 한달쯤부터 손톱으로 손목을 긁어요...,공포
28543,수능 폐지한다는 얘기나오던데 정말 폐지해..?,공포
28544,여러분 연봉제시할때 예를들면 3000-3200이면3200를 부르는게 맞나요,공포
28545,그냥 해도 안걸릴까요 ?,공포
28546,어떻게 어떤 운동을 해야하는지 잘모르겠어요ㅜㅠㅠㅠ,공포
28547,이 이름 그대로 써도 될런지.,공포
28548,걱정은 돼요 ^^,공포
28549,혹시...근무해보신분이나 근무중이신분 있으시면 답변좀..........,공포
28550,3월부터 출근이면? 0알바를 지금 구해야할지 ...,공포
28551,그러면서 추석때 시골 가는사람이 저랑 저 다음근무자분인데두사람이나 비면 사장님이 혼자서 오후5시부터 오전10시까지 해야되는거라힘들다고 하더군요,공포
28552,애매하네...........,공포
28553,말도 많이 안하지만 유머는 더더욱 없어서 고민심지어는 채팅할때도 가끔 느끼지만 나도 내가 존나 재미없음0,공포
28554,얼른 취업 해야되는데...,공포
28555, 그리고 전문상담사 꼭좀,공포
28556,미치고 절때 해어지지 않을 마음이지만 일병정도되면....위기가오나요,공포
28557, 제대하고변ㅅ변하거나 말년병장때 변한다는글보니까 더더욱....,공포
28558, ?일본어가 귀에 익거나 그러진않거든요.,공포
28559,제마음을 제가 모르겠어요,공포
28560,그러다가 정체기가왔을때 식사량줄이되 단백질많이 섭취하고 운동량늘리면 될까요?,공포
28561,손이짤린건 아닌지 걱정도 해봣어요.....,공포
28562, 혹시나 이 인감증명서를 악용하면 어쩝니까??,공포
28563,이것도 혹시 임신의 증상인가 해서요..,공포
28564, 편지나 이런거 어떡해 하는건가요,공포
28565,전문대졸이라 시집도 못갈거고 노후도 걱정이네요.,공포
28566, 어떻게 해야할까요 ㅠㅠㅠㅠ??,공포
28567,휴학생과 졸업생의 차이는 큰가요?,공포
28568,젖몸살 안올까요?ㅜㅜ,공포
28569,믿을만 할까?,공포
28570, 집에서 할 수 있는 유산소운동 뭐가 있을까요?,공포
28571,제생각 날까요...?,공포
28572,그만둔다고해서 저한테 불이익 오는건 없겠죠?,공포
28573,보건행정아님간호행정갈라하는대..,공포
28574,안절부절한 마음에 톡 써봅니다..,공포
28575,다시 진심어린 사과 문자 보낸 상태에요 ..,공포
28576, 이거 치료 방법없을까요...,공포
28577, 그냥 걱정이네 뭐 열심히 해야겠지만,공포
28578,장수풍뎅이 애벌레 똥으로 만든 흙도 섞었는데 싹이 날까..0,공포
28579,남자들은 군대기다려준 여자들?한테 질리고 그런다던데걱정이 되네요....,공포
28580, 아시는 분 좀 알려주세요,공포
28581, 생각이 좀 들어서 찜찜하더라구요네,공포
28582,상담 원합니다 일 문제입니다,공포
28583,일주일 만에 만나서 이런저런얘기하다가서로가 좋아하는지 잘못느끼겟다,공포
28584, 으 앜고민 꿈에그리던 취업인데23살에 취업이라니 고민0,공포
28585,면허따고 한번 부모님 차로 운전해볼려고 하는데...,공포
28586, 애가 놀랄까봐요.,공포
28587,18년도 지방직 목표로 하는데국어 90점 이상 나오려면 어떻게..,공포
28588,가려는데...제가 산부인과라는게 연말정산에 뜨면 안되거든요...ㅠ,공포
28589, 제가 바뀔수 있을까요?,공포
28590,알수있는 방법이 없을까요????,공포
28591,지옥문열림?,공포
28592, 나라가 어찌될라고 이러나..,공포
28593,  그래서 고민입니다.,공포
28594, 버피테스트 하다가 더 튀어나온것같아서 못하겠음ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,공포
28595,"태어난지 두달도 넘었고.더운날씨에 신생아처럼 꽁꽁묶어놀수도없고,.",공포
28596,그냥 좀 더 참고 적금을 더 높여야 할까요?,공포
28597,일단.. 욕은하지 마시구요;;큰 고민이네요,공포
28598, 가서 아직 저를 좋아하냐고 묻는게 맞을까요?,공포
28599,근데 집이문제네요..,공포
28600,안하면 이상한가요...?,공포
28601,파견직인데 관두면 2주치 받을수있을까요??,공포
28602,그만둘때 뭐라고 하면서 그만 둬야 될까요ㅠㅠ,공포
28603, 제가 더 많이 좋아해서 그런걸까요,공포
28604,빨가게튼것?같아요,공포
28605,전화는 언제쯤 올 수 잇을까요? ㅠㅠㅠ,공포
28606, 어떻게 해야 할 지 난감합니다.,공포
28607, 우리피시방 100대중 10대가동중;;,공포
28608,긴장이 안됩니다어쩌죠 ㅜㅜ0,공포
28609,이렇게까지 하나요 원래??,공포
28610,이거마음식은거맞죠??,공포
28611, 어떻게 해야되나요?,공포
28612,낭비인가요?,공포
28613,도데체 왜이러는걸까요..,공포
28614,심한건 아닌데 이전까진 워낙 입냄새가 안나던 친구이다 보니까 좀 신경이 쓰입니다.,공포
28615,어케 방법없음 ?0,공포
28616,점장이 나이가 어리다구 하던데 저 떨어진건가요???,공포
28617,혹시 알게 될 까봐 불안합니다.,공포
28618, 그리고 토요일도 나오는건 몇시간이여야 노동법에 안걸리나요 ?,공포
28619,"내일 암기과목 들었는데 공부안함..,",공포
28620,다른 아기들도 토를 자주 하나요?,공포
28621,저는 불안할 때면 흔들어요.,공포
28622,전업주부이신분들 할만하신가요?,공포
28623,다름이 아니라 수술후 5인실로 가려고 생각중이거든요~,공포
28624,아님 밥먹는 식단을 새롭게 해서 줘야 하는지요?,공포
28625, 와~~진짜 이걸어카냐 같이다니는게 맞는건가?,공포
28626,이번 수능안에 점수를 올려서 대학갈수있을까요..?,공포
28627,비용대주신다는데.. 남자들 5명인데보내야 하나요?,공포
28628,해서 아기 백일쯤영아어린이집 맡기려는데ㅜㅜㅜㅜㅜ,공포
28629, 만약 임신이라면 몇주에요???,공포
28630, 비밀번호 취급 각서가 왔네요.,공포
28631,공복에 운동이 효과가 더 높다는 말도 듣고공복에 하면 근손실이 온다는 얘기도 들어서뭐가 맞는지 모르겠어요...,공포
28632, 시험기간이라서 안된다고 했지만 맨날 술만 먹으면 새벽에 연락옵니다,공포
28633,파혼이 창피해서남들 시선 의식해서남부끄러워서파혼하고싶은데도 참고 결혼한다고?,공포
28634,생리는 불규칙 하지 않고 매달 하는데 생리양이 너무도 적습니다,공포
28635, 그러면 학교에서 부모님께 바로 전화가 오나요?,공포
28636, 왜그럴까요?,공포
28637,제가 어려서 어떻게 해볼라고 사귀는걸까요..?,공포
28638,예전에도 올렸었는데 얼굴보고 아차~하실분도 계실듯^^;;,공포
28639,물이 많이 차가울텐데 데리고 들어가서 물놀이 해도 괜찮을까요???,공포
28640, 그런데... 항상 이렇지만 면접을 본후...,공포
28641,이제막 상병단 군인 기다리기 힘들까요?,공포
28642, 별일이야 있겠습니까?,공포
28643,면접도 보는지 궁금합니당~ㅎㅎ,공포
28644,뱃살 운동은 따로 안하는데 뭘로하면 좋을까용..,공포
28645, 우리는 어떤 사이인지 묻고 싶기도 하고.. 연락없는그.. 제가 연락해보는게 좋을까요 ..,공포
28646, 왠지 여칰이 100일선물 안해둘거같아서요...,공포
28647,그냥 평범하게 선물 사서 주기는 싫고..,공포
28648,어떻게 하면 좋을까요?,공포
28649,어떻게 해야되죠0,공포
28650,아직 미혼이고 남자친구도 없지만생리불순이라 혹시 나중에 임신이 안될까봐 걱정입니다,공포
28651,경찰에 신고하면 어떤도움을 받을수있을까요...,공포
28652,4~5개정도 빠지면 많이 빠지는거임??,공포
28653,나한테 관심있는건가 없는건가.,공포
28654, 이거 맞는거죠?,공포
28655,긴장하고 배에 힘주고 다니는데...,공포
28656, 결혼생각을 아예 배제시키지 못하는 나이기에 ..,공포
28657,퇴사한지 3개월이 넘어가는데 재취업은 안되고...,공포
28658,지금 3주짼데 차라리 한번 연락하고 까이고 확실하게 미련없애고 싶은데 괜찮을까요...,공포
28659,다른분들은 어떻게하세요?,공포
28660,여자 나이 24살이면 신입으로 들어갈 수 있는건가요..,공포
28661, 진짜 고발하면 어떻게되져..?,공포
28662,학생인데 6월까지 10키로 어떻게 뺄수있을까요/?,공포
28663,아무래도 미성년잔데...,공포
28664,거기다오늘은 두회원이 계속 귓속말하더니 수업시간에 나가버리더라구요..,공포
28665,지금 있는 용돈까지 합쳐서 존나 과소비하고싶어졌음뭘 하면 좋을까요?0,공포
28666,아니면 내가 그나마 잘하는 미술쪽으로 가서 그쪽에서 일하는게 나은가요?,공포
28667, 하지만 돈이 드는 만큼 언제까지 배울 수 있을까 고민이 들기도 합니다.,공포
28668,"연애, 학업 등과 관련된 상담해주실분 계세요??",공포
28669,아님 좀더 신중히직업을 선택을 해야할까요 ..,공포
28670,다음카페 맞나여?ㅠㅠㅠ,공포
28671,믿을만한가요..?,공포
28672,분유를 매일꺼 먹이니까 이유식도 같은걸로 먹이면 괜찮을까요?,공포
28673,2.6키로 정도 쪘는데 이정도면 많이찐건가요 ?,공포
28674,막창집은 첨이라 떨림,공포
28675,안돌아오겠죠?,공포
28676,어떻게하면 찾을수가 있나요???,공포
28677, 제가 아직 아무것도 몰라서..,공포
28678, 아니면 그냥 스트레스때문에 건망증이 심해진건가요;;0,공포
28679, 막달검사 할때 비용 어느정도 들었어요?,공포
28680,배가 콕콕 거리는 느낌이나 복통?,공포
28681,부모님들이 많이 오실까요? ........,공포
28682, 근데 배뭉침은 조산이나..,공포
28683,어떻게 극복해야 할까요,공포
28684,연애경험 1도 없는 남자 힘들까요...?,공포
28685,아빠가 대학쓸때 보건계열 쓰지 말라는데ㅠ,공포
